ds,pt,m,rank,q0,q1,q2,q3,q4
isbsg10,sway,MAR-,2,1711.08711111111,2113.12450980392,2568.62656668728,2729.03800795559,3356.31347184702
isbsg10,tpe,MAR-,2,1727.43441558442,2228.66287897999,2580.374,2704.74679487179,3332.76282051282
isbsg10,random150,MAR-,2,1762.03653846154,2059.61444444445,2584.87921212121,2694.03274488431,3301.60375
isbsg10,moead,MAR-,2,1741.42038355487,2213.49480874317,2594.87512094823,3046.66666666667,3357.59495999273
isbsg10,tpe,MdMRE-,1,0.489213233857493,0.688690948461106,0.856835511982571,1.20716680713774,2.09694087144983
isbsg10,default,MdMRE-,1,0.528676650366748,0.66442410595742,0.859398676027139,1.09473706228937,1.70513339762134
isbsg10,sway,MdMRE-,2,0.526970230835814,0.679044372867388,0.87914927439629,1.28965722956155,2.47300810241598
isbsg10,nsga-ii,MdMRE-,2,0.511928750419799,0.690517954509389,0.886938997821351,1.24393741750854,2.58582564775474
isbsg10,random60,MdMRE-,2,0.490683379635456,0.79628849458102,0.894053189598792,1.40582489170594,2.69247002719435
isbsg10,random150,MdMRE-,2,0.536715949820789,0.758850916212987,0.924626588038682,1.48509650918993,2.70573642454043
isbsg10,nsga-iii,MdMRE-,2,0.442377629032999,0.701427340962225,0.96847123990099,1.34386073674554,2.61797337050325
isbsg10,moead,MdMRE-,2,0.543095424773852,0.782285352127762,0.981206411509047,1.3422791546054,2.64927564900289
isbsg10,default,MMRE-,1,0.816304594578818,1.40044928028109,1.61424700800759,1.7630995153736,3.86899009886297
isbsg10,random60,MMRE-,2,1.56070900263399,2.19426901834568,3.03412027568538,4.6109491840728,7.13090748792591
isbsg10,tpe,MMRE-,3,0.974945567839548,2.06811070532365,3.39396080483071,4.2687026990297,7.27027166596048
isbsg10,nsga-iii,MMRE-,3,1.08407021574773,2.3438929639679,3.4808227052018,4.1749565134392,7.65493058535097
isbsg10,random150,MMRE-,3,0.83884061825664,2.298504496287,3.52654852374144,4.50909787352413,7.7405916507945
isbsg10,sway,MMRE-,3,0.806288168648797,2.36628800751071,3.55356670917665,4.04295173807564,7.68436810563932
isbsg10,nsga-ii,MMRE-,3,1.06637694447589,2.18785639100224,3.68511308160913,3.91054816086658,7.41261361346655
isbsg10,moead,MMRE-,4,1.60507366678692,2.49944928812624,3.9309239112797,4.94437169346724,7.84051179198322
isbsg10,default,PRED25+,1,0.0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.25
isbsg10,sway,PRED25+,1,0.0,0.0769230769230769,0.0833333333333333,0.166666666666667,0.25
isbsg10,tpe,PRED25+,1,0.0,0.0769230769230769,0.0833333333333333,0.153846153846154,0.416666666666667
isbsg10,nsga-ii,PRED25+,1,0.0,0.0,0.0833333333333333,0.166666666666667,0.25
isbsg10,nsga-iii,PRED25+,1,0.0,0.0769230769230769,0.0833333333333333,0.166666666666667,0.333333333333333
isbsg10,moead,PRED25+,1,0.0,0.0769230769230769,0.0833333333333333,0.153846153846154,0.25
isbsg10,random60,PRED25+,1,0.0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.307692307692308
isbsg10,random150,PRED25+,1,0.0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.25
isbsg10,sway,Pred40+,3,0.0833333333333333,0.0833333333333333,0.166666666666667,0.230769230769231,0.461538461538462
