pt,m,mean,std,rank,median,iqr
tpe,SdAR-,4633.590167830475,914.4024706775206,,,
nsga-ii,SdAR-,4562.822214900297,761.5635640330607,,,
nsga-iii,SdAR-,4597.70377282955,855.271193089483,,,
moead,SdAR-,4383.959123693452,750.321638715547,,,
default,SD+,0.4341228016315564,0.047176966111810215,1.0,0.428890477082273,0.05222204058319496
random60,SD+,0.4321789533816024,0.05569624384410797,1.0,0.432850356231052,0.08457922046660798
random150,SD+,0.4317468183557877,0.04978021674796652,1.0,0.438508000718258,0.08569816718857798
random300,SD+,0.4278565979861143,0.04426095858124534,1.0,0.416864469180059,0.054611205604017
sway,SD+,0.40808144324258366,0.054220089801956535,3.0,0.406752998977248,0.07158559300718997
tpe,SD+,0.39069544043733045,0.06906799000295746,3.0,0.403709527674535,0.12205764536070501
nsga-ii,SD+,0.3971168805845953,0.0751072278010964,2.0,0.407707693137179,0.10106656297809502
nsga-iii,SD+,0.39492963642490925,0.06503194375263933,3.0,0.38617258657685,0.10184336173506098
moead,SD+,0.4246671143240661,0.034834079030738305,1.0,0.422127035223492,0.043405453103144975
default,Delta+,0.27754085026248027,0.03680864282397489,1.0,0.277039701488017,0.047175333591616964
random60,Delta+,0.2610969491838674,0.042525363118533895,3.0,0.256428756923594,0.04337724305174598
random150,Delta+,0.2624772920336439,0.04303955736365856,2.0,0.269261062028213,0.04464489685286502
random300,Delta+,0.24551106020595728,0.05881729168638904,3.0,0.265613973561407,0.08980017109356198
sway,Delta+,0.2422744089751117,0.058557726463039306,3.0,0.251186233878522,0.07437569156981397
tpe,Delta+,0.23430718220603622,0.06506017115490947,4.0,0.24540157288346,0.085916750132187
nsga-ii,Delta+,0.2470392743513933,0.05690015809279429,3.0,0.260722935134376,0.08691495890585002
nsga-iii,Delta+,0.22539568580958952,0.061299595230926616,4.0,0.211103141069562,0.07840837680400603
moead,Delta+,0.26066775178772406,0.03990031977037659,3.0,0.265479275040577,0.04809010495842497
default,MMRE-,1.7925829352175224,0.3426339081355024,1.0,1.68908173632924,0.5107307727139401
random60,MMRE-,2.2774702290810795,0.6413829899922817,2.0,2.0221643489257,0.5859344700146598
random150,MMRE-,2.2377644598825737,0.5066276545843456,2.0,2.18373949928125,0.5481367691313599
random300,MMRE-,2.635125034980807,0.7650108354677553,3.0,2.47530332500919,1.14204185612066
sway,MMRE-,2.7055852454369553,0.7631393543480686,4.0,2.79835838055625,0.99056297376569
tpe,MMRE-,2.772322972377919,0.7075104874522611,4.0,2.62282584324457,1.0494912118750301
nsga-ii,MMRE-,2.4888954516536463,0.6949106553149623,3.0,2.4847954109429,0.8488120997158299
nsga-iii,MMRE-,3.0022264435727735,0.8244717764696676,5.0,3.05255691682971,1.11330612438928
moead,MMRE-,2.262453190265378,0.7222380749800241,2.0,2.15788018867549,0.6231270631627499
default,MdMRE-,0.6540903076195954,0.04637540771528319,1.0,0.641220409101356,0.049089590873588995
random60,MdMRE-,0.7619488625812905,0.1442231323956522,2.0,0.705251397027668,0.11888630203833894
random150,MdMRE-,0.7356273101634151,0.11480253860786759,2.0,0.719324565998065,0.12372942481870997
random300,MdMRE-,0.8386350333108036,0.21960375823898798,3.0,0.747859326348618,0.271723469844661
sway,MdMRE-,0.8340059024272696,0.2085211672889199,4.0,0.77795013479077,0.222489318999898
tpe,MdMRE-,0.8314641889023517,0.220474771337199,4.0,0.754823508850589,0.221260871225763
nsga-ii,MdMRE-,0.7762587019840732,0.17201847533708456,2.0,0.719519325889695,0.197543799717518
nsga-iii,MdMRE-,0.8795225576040109,0.21425091549418435,5.0,0.838589740017385,0.350982943817869
moead,MdMRE-,0.7520075981911967,0.16042593756479917,2.0,0.741188986891039,0.13832582730945098
default,Pred25+,0.1938206203771459,0.02931946643640932,,,
random60,Pred25+,0.1832290668233242,0.024753498422376802,,,
random150,Pred25+,0.1817689921362094,0.028286393677080447,,,
