Iteration,PT,HV+,GD-,DCI+,UNFR+
7,moead,14237661901.20575,0.0022714377597794597,1.0,0.125
8,random search,10619058820.808025,0.08681201604154286,0.46666666666666656,0.0
8,sway,5547322484.854175,0.1430002339657078,0.0,0.0
8,tpe,13395223538.80613,0.013064072571392811,0.7499999999999998,0.037037037037037035
8,nsga-ii,13237022402.00373,0.007058610022977797,0.6999999999999998,0.07407407407407407
8,nsga-iii,12111193689.287197,0.019171569350400874,0.7333333333333332,0.037037037037037035
8,moead,13107222658.973953,0.03498910967065573,0.8333333333333333,0.12962962962962962
9,random search,5021734483.654679,0.07011973348547554,0.1875,0.0
9,sway,2191491415.4484143,0.2036574504016929,0.0,0.0
9,tpe,7395021757.748339,0.01940248851865628,0.6499999999999999,0.03225806451612903
9,nsga-ii,7795922211.316413,0.013453861519492199,0.6875,0.12903225806451613
9,nsga-iii,6653701159.26161,0.010772771213144617,0.8750000000000002,0.11290322580645161
9,moead,8404607424.65449,0.008988820907507022,0.8125,0.12903225806451613
10,random search,3823041129.4023085,0.12650796259965955,0.0,0.0
10,sway,4283671940.7962155,0.4015420454347613,0.36000000000000004,0.0
10,tpe,5394994668.13022,0.026165092714968804,0.6800000000000002,0.022727272727272728
10,nsga-ii,5875642564.581108,0.029449697112524934,0.8799999999999999,0.022727272727272728
10,nsga-iii,5296630854.38942,0.020769399796664964,0.76,0.022727272727272728
10,moead,5390137862.703242,0.016542453314723198,0.9199999999999999,0.06818181818181818
11,random search,23093515830.017876,0.12899527033008826,0.4800000000000001,0.0
11,sway,17673619221.227764,0.37919442676156695,0.0,0.0
11,tpe,29686188148.726566,0.07573953369288408,0.7200000000000001,0.0
11,nsga-ii,31458520612.835217,0.05921502135012747,0.76,0.023809523809523808
11,nsga-iii,33571556767.8737,0.2710856696706209,0.48,0.023809523809523808
11,moead,32579804950.610012,0.024472053826287466,0.9199999999999999,0.09523809523809523
12,random search,7142659426.103253,0.10709000778483267,0.225,0.0
12,sway,4955199154.399785,0.19169472891881878,0.3,0.0
12,tpe,8213838107.427189,0.03521757454219338,0.7749999999999999,0.0392156862745098
12,nsga-ii,8566852295.592,0.04035865201563101,0.7499999999999999,0.0392156862745098
12,nsga-iii,8638301938.86568,0.0,0.7499999999999999,0.0784313725490196
12,moead,8327408268.19028,0.02462241527250825,0.775,0.058823529411764705
13,random search,2113118220.0549397,0.23347726657916135,0.27999999999999997,0.0
13,sway,1647661558.7094507,0.11698226425403245,0.36,0.0
13,tpe,2583788788.5068016,0.11056857685299053,0.76,0.023255813953488372
13,nsga-ii,2899782967.8445106,0.11140986240882052,0.27999999999999997,0.023255813953488372
13,nsga-iii,2475541705.586732,0.07066042660687656,0.76,0.0
13,moead,2665642509.1791396,0.046994264125877795,0.8400000000000001,0.023255813953488372
14,random search,16875189129.326036,0.24410946867546557,0.65,0.023255813953488372
