Iteration,PT,HV+,GD-,DCI+,UNFR+
12,tpe,1484875143.8824873,0.018638553030188267,0.7999999999999999,0.03773584905660377
12,nsga-ii,1227763722.485718,0.05125237459993917,0.3,0.0
12,nsga-iii,1609105009.7715797,0.089589701520533,0.6333333333333333,0.03773584905660377
12,moead,1280504252.363158,0.026059169644132407,0.7,0.03773584905660377
13,random search,1412042741.4187853,0.10305564900957376,0.3333333333333333,0.02
13,sway,804049132.3555012,0.2603555523556391,0.0,0.0
13,tpe,1554204881.8999524,0.049365038634769765,0.35555555555555557,0.0
13,nsga-ii,1764321045.1184945,0.027723938848051535,0.6888888888888888,0.04
13,nsga-iii,2070308611.623424,0.14884917717266033,0.4444444444444444,0.06
13,moead,1951921065.14522,0.024554098923678512,0.6,0.12
