DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,pred25
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.037996768951416016,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5072258412724302,0.4158198680143547,0.23794663048394388
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.0410008430480957,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5068210068797503,0.41991990349618546,0.23496155585707826
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.0370025634765625,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5407181383851755,0.49691187369700474,0.22270465852555404
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.043004512786865234,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5075356068961575,0.41877219715652014,0.23188602442333783
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.03938007354736328,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.506870888127666,0.4150924158908447,0.24097693351424693
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.03800368309020996,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5377010111448385,0.4976658239967434,0.22568973315241975
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04200315475463867,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5055596678272396,0.4186298682675612,0.23794663048394388
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.039991140365600586,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5407181441679029,0.49519073309304423,0.22270465852555404
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04199862480163574,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5073712610106539,0.41524954265143676,0.23794663048394388
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.039994239807128906,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5075957961441073,0.4170982693391518,0.23188602442333783
