Iteration,PT,Params?,SA+,SD+,Pred25+
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.441000074365219,0.336481165784984,0.36
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.432088221240719,0.402439777134832,0.28
0,nsga-ii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.8423785649499391, 'la__gamma': 0.3367035201968941, 'la__C': 4376.645107031075, 'la__epsilon': 0.20678087598322245}",0.434556572463192,0.39976860282788,0.28
0,nsga-iii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.09891571318241482, 'la__gamma': 0.42199592562622235, 'la__C': 1416.6670151882063, 'la__epsilon': 0.22897706031413406}",0.392066105242208,0.442925752563055,0.23
0,nsga-iii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.09891571318241482, 'la__gamma': 0.42199592562622235, 'la__C': 1416.6670151882063, 'la__epsilon': 0.22897706031413406}",0.417273641131802,0.420335340649206,0.28
0,nsga-iii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.09891571318241482, 'la__gamma': 0.42199592562622235, 'la__C': 1416.6670151882063, 'la__epsilon': 0.22897706031413406}",0.434293756755955,0.376294327709148,0.28
0,nsga-iii,"{'la__kernel': 'sigmoid', 'la__degree': 3, 'la__coef0': 0.09891571318241482, 'la__gamma': 0.42199592562622235, 'la__C': 1416.6670151882063, 'la__epsilon': 0.22897706031413406}",0.451480128991433,0.371581200888506,0.32
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",-0.566521520099391,0.318104470322554,0.08
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",-0.59386243033792,0.356671551923249,0.08
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",-0.46011121417315,0.282936090950063,0.12
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.291403850801643,0.262968465467615,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.292471884734351,0.262790378816912,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.291384879183368,0.263231612089758,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.291108347686179,0.263782547489641,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.324702125033957,0.257759894181678,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.324702125033957,0.259953412548864,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.324440024963304,0.261661051587794,0.23
0,moead,"{'la__kernel': 'sigmoid', 'la__degree': 4, 'la__coef0': 0.8076579363473966, 'la__gamma': 0.1509343475116192, 'la__C': 2439.6541063506397, 'la__epsilon': 0.7883220017312644}",0.325153009974336,0.25969396187352,0.23
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",-0.120444508558356,0.0968385006309274,0.24
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",0.0781798960028617,0.219018456019177,0.08
