DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/china.csv,4,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",594.066598892212,,2767.37566864849,0.460625710546519,5020.40648110849,0.368151768661393,0.299161806842038,1.03997935684958,0.186746987951807,4200,pareto front
effort/china.csv,5,none,minmax,none,svr,default,None,0.239886522293091,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3020.27010324956,0.367714567890121,5537.05690844606,0.204209488877084,0.252944984293877,1.48789148660112,0.180722891566265,,
effort/china.csv,5,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.9062666893005,,2394.61799394197,0.498693156148961,4160.64236548266,0.399857495902519,0.34283073420749,1.0645150398948,0.198795180722892,192,pareto front
effort/china.csv,5,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",70.8403482437134,,2449.67203241466,0.487167741098285,4405.53706339064,0.365140435909958,0.335185006014271,1.08546953889476,0.198795180722892,66,pareto front
effort/china.csv,5,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",445.428210496902,,2376.42204008346,0.502502430205509,3956.93298894877,0.432051549583402,0.345533646231385,1.05504942456005,0.210843373493976,3072,pareto front
effort/china.csv,5,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",420.631445169449,,2391.73334926467,0.499297048762508,4292.10086987377,0.382151652647154,0.342580779864843,1.05178064166514,0.216867469879518,3000,pareto front
effort/china.csv,5,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",421.300827980042,,2457.83711072265,0.485458403890123,4374.40233383993,0.366826021351256,0.334993916837091,1.08593580841532,0.198795180722892,3000,pareto front
effort/china.csv,5,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",584.087886571884,,2425.99314114706,0.492124853371425,4354.19647466507,0.375319380309832,0.338874897920276,1.08878753776888,0.204819277108434,4200,pareto front
effort/china.csv,6,none,minmax,none,svr,default,None,0.238521575927734,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3042.24008242968,0.364560079685001,5436.30235472502,0.203031859513456,0.255998347889824,1.69409391460027,0.149700598802395,,
effort/china.csv,6,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",11.0394802093506,,2703.33236699146,0.43534854011453,4307.32802025162,0.366426180628005,0.306202628367537,1.48280615479595,0.143712574850299,192,pareto front
effort/china.csv,6,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",72.6799788475037,,2386.56260206228,0.501512994178274,4084.27830575891,0.403019343296101,0.350728906562267,1.16500739422573,0.191616766467066,66,pareto front
effort/china.csv,6,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",436.829665184021,,2389.80074822047,0.500836634890059,4025.02841866287,0.41256061929559,0.351249860607256,1.1573136599834,0.203592814371257,3072,pareto front
effort/china.csv,6,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",418.00293135643,,2408.60021308743,0.496909945959092,4225.84625651576,0.380447476637701,0.348000188539014,1.14403925848186,0.203592814371257,3000,pareto front
effort/china.csv,6,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",419.266873598099,,2395.60320366601,0.499624662223194,4200.61206558249,0.386645023077331,0.352584663400413,1.15356677489973,0.215568862275449,3000,pareto front
effort/china.csv,6,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",587.140625715256,,2419.50681821509,0.494631857410703,4230.65095379252,0.377978846315857,0.348264832994082,1.19275448662651,0.191616766467066,4200,pareto front
effort/china.csv,7,none,minmax,none,svr,default,None,0.255411624908447,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",3619.51513031581,0.37594058333661,7729.99157062227,0.219813343469191,0.220348210973463,1.35489099836607,0.126506024096386,,
effort/china.csv,7,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.8665254116058,,3249.65924929066,0.439709358173017,6253.84307632588,0.371309551779814,0.258265443706583,1.175036124698,0.174698795180723,192,pareto front
effort/china.csv,7,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",70.7835743427277,,3279.17126664809,0.434621037866692,6231.44028607468,0.371447989584696,0.254686470448356,1.20141135243831,0.180722891566265,60,pareto front
effort/china.csv,7,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",437.402536392212,,3281.69145140018,0.434186519714495,6224.62665325886,0.372008971230564,0.252983978176392,1.19845847740642,0.186746987951807,3072,pareto front
effort/china.csv,7,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",416.162042856216,,3206.74252445262,0.447108853769322,6249.76913181563,0.367564479820931,0.260479746499583,1.14675962047569,0.186746987951807,3000,pareto front
effort/china.csv,7,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",420.439890384674,,3229.59569600961,0.443168619677935,6222.49440912944,0.370710175827734,0.258445043246599,1.17211997467414,0.168674698795181,3000,pareto front
effort/china.csv,7,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",596.417704343796,,3199.33426202586,0.448386150800025,6245.46469557971,0.37097563609951,0.261050327883289,1.14367860053897,0.186746987951807,4200,pareto front
effort/china.csv,8,none,minmax,none,svr,default,None,0.242501735687256,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2661.17108488963,0.35428568698061,4456.07340082541,0.221153226945655,0.254075503556718,2.20488501409385,0.174698795180723,,
effort/china.csv,8,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",11.0035860538483,,1949.32917454006,0.527009084108177,2865.45059906275,0.501321253989307,0.378149148677678,1.40411602620084,0.198795180722892,192,pareto front
effort/china.csv,8,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",70.8893496990204,,1955.50868555129,0.525509669534618,2881.13303495052,0.49807824092028,0.377581166560318,1.38775355860398,0.192771084337349,60,pareto front
effort/china.csv,8,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",443.374421358109,,1973.69463208781,0.521096978429896,2829.64141661967,0.505778424326169,0.375291619993729,1.31995712725037,0.168674698795181,3072,pareto front
