ds,pp,pt,m,rank,q0,q1,q2,q3,q4
adult,none,default,d2h3,3,0.305534897747158,0.317775321776186,0.324716604988777,0.329519142285363,0.340431035134835
adult,none,de,d2h3,4,0.322933912103122,0.334221323689478,0.339017719804738,0.350622486046755,0.601207473444147
adult,none,random,d2h3,4,0.317555014196573,0.332925647943342,0.341031254299219,0.347644946840776,0.365807715808198
adult,fairsmote,random,di-race,1,0.043431046347915,0.231426100160213,0.253074075065221,0.29356328307707,0.352773566797893
adult,fairsmote,de,di-race,1,0.0,0.215688510956091,0.265591418180901,0.291374965133318,1.0
adult,fairsmote,default,di-race,1,0.051569345686993,0.210575027331897,0.265954922894425,0.286941990234829,0.352528642961212
adult,none,default,di-race,2,0.318412460542824,0.439562882065701,0.474965309570783,0.510617184496237,0.574927610893006
adult,none,random,di-race,2,0.219861731843575,0.427498475211292,0.475805179145884,0.522521011566325,0.594611005692599
adult,none,de,di-race,3,0.276498038531289,0.430598414732932,0.488002174532358,0.533184849184469,1.0
adult,fairsmote,de,di-sex,1,0.0,0.363512156996108,0.400293703240658,0.428109655954161,1.0
adult,fairsmote,random,di-sex,1,0.246443459463179,0.363371514685898,0.4053033031681,0.431845369108759,0.4643299357978
adult,fairsmote,default,di-sex,1,0.313084514068476,0.375526474290701,0.410617448797192,0.422018908203721,0.474953385609563
adult,none,default,di-sex,2,0.728145746905518,0.763069565746013,0.777956684500701,0.790268938354197,0.818550586565992
adult,none,random,di-sex,3,0.543535905622599,0.694002447980416,0.81764461396067,0.841272094874208,0.879394215693905
adult,none,de,di-sex,4,0.603518097966245,0.799293792679277,0.828945992050081,0.839470831827909,1.0
adult,fairsmote,de,eod-race,1,0.0,0.008214446425893,0.019974437673032,0.031303120962807,0.090368036782392
adult,fairsmote,random,eod-race,2,7.01196709050889e-05,0.015112722672767,0.032655400232763,0.041877196997706,0.091457957657116
adult,none,random,eod-race,3,0.000265509047221,0.029301872965148,0.056287985039738,0.088397631053671,0.159212016068101
adult,none,de,eod-race,3,0.0,0.02960867515323,0.056892737974731,0.092840337175053,0.156643754209829
adult,fairsmote,default,eod-race,3,0.001937797785874,0.035198473975838,0.064029421058175,0.07903350019253,0.124168924871477
adult,none,default,eod-race,4,0.019459415235777,0.06060435646534,0.091591164071531,0.11139943854379,0.152355135528178
adult,fairsmote,de,eod-sex,1,0.0,0.043994543994544,0.067182336182336,0.089719899296476,0.136889568405914
adult,fairsmote,random,eod-sex,1,0.005610005610006,0.045867462163347,0.069406454339481,0.084308195977375,0.122520722520723
adult,fairsmote,default,eod-sex,2,0.008332274325412,0.096959205582394,0.114657842861166,0.134053174829773,0.190000367138644
adult,none,random,eod-sex,3,0.000427963823162,0.046930034186837,0.208374916833001,0.244042038409194,0.315168639017047
adult,none,de,eod-sex,3,0.0,0.093449427089407,0.216913991520291,0.248576474570349,0.31518863645358
adult,none,default,eod-sex,4,0.160373741065384,0.211671354416775,0.229395096209747,0.246684265977852,0.296185922768283
adult,none,random,f1,3,0.315098468271335,0.376358695652174,0.557918298824846,0.593378168649767,0.621095750128008
adult,none,de,f1,3,0.0,0.440026507620941,0.589844777690082,0.601596703579706,0.620829120323559
adult,fairsmote,default,f1,2,0.592210563756002,0.602819996337667,0.608142930767909,0.61221664647863,0.622418358340689
adult,none,default,f1,2,0.594133868137378,0.604087812263437,0.60837798343887,0.614488348530902,0.625659050966608
adult,fairsmote,random,f1,1,0.596195262024408,0.609721733004579,0.616428571428571,0.619804842790025,0.631088082901554
adult,fairsmote,de,f1,1,0.0,0.610733452593918,0.617673743422246,0.623804463336876,0.635071090047393
adult,none,random,fr-race,1,0.0,0.000409458491145,0.010442260442261,0.027743652743653,0.055487305487306
adult,fairsmote,random,fr-race,2,0.0,0.013307400962228,0.01945126945127,0.031941031941032,0.06480343980344
adult,none,de,fr-race,3,0.0,0.001126126126126,0.020677653802846,0.027027027027027,0.039000921281605
adult,fairsmote,de,fr-race,4,0.0,0.022008393899069,0.03408741938786,0.047497184972873,0.136158886158886
adult,none,default,fr-race,5,0.067663015661787,0.073804893028969,0.078411301054356,0.081686968983519,0.09263998362166
adult,fairsmote,default,fr-race,6,0.128480753480753,0.140765765765766,0.1504914004914,0.155901320503634,0.199529074529075
adult,fairsmote,random,fr-sex,1,0.000716625716626,0.048832923832924,0.069505578871942,0.078009828009828,0.116093366093366
adult,fairsmote,de,fr-sex,2,0.0,0.064899170846556,0.082104832104832,0.098484848484849,0.148034398034398
adult,none,random,fr-sex,2,0.000511823113932,0.009929368410277,0.090192465192465,0.106356843075033,0.115990990990991
adult,none,de,fr-sex,3,0.0,0.031221209949841,0.10534398034398,0.109632511004197,0.124897624897625
adult,none,default,fr-sex,4,0.108927108927109,0.122338247338247,0.125307125307125,0.128276003276003,0.132985257985258
adult,fairsmote,default,fr-sex,5,0.151617526617527,0.167775616746852,0.174037674037674,0.184256321015457,0.205650527177807
adult,fairsmote,default,precision,6,0.492603550295858,0.511585365853659,0.518461061123177,0.524075799937869,0.552614379084967
adult,fairsmote,random,precision,5,0.500148411991689,0.518396649715824,0.52614590058102,0.534542044388872,0.552121012824729
