DS,PP,PT,accuracy,aod-age,aod-race,aod-sex,d2h1,d2h2,d2h3,di-age,di-race,di-sex,eod-age,eod-race,eod-sex,f1,fr-age,fr-race,fr-sex,precision,recall,spd-age,spd-race,spd-sex
heart,none,de,0.847457627118644,0.0,,,0.187686804037057,0.059980063560248,0.132871444036054,0.111111111111111,,,0.0625,,,0.816326530612245,0.0,,,0.952380952380952,0.714285714285714,0.041666666666667,,
heart,fairsmote,default,0.813559322033898,0.039583333333333,,,0.191504760381956,0.113018785265933,0.15295697365626,0.163398692810458,,,0.166666666666667,,,0.807017543859649,0.016949152542373,,,0.793103448275862,0.821428571428571,0.086805555555556,,
heart,fairsmote,random,0.847457627118644,0.022916666666667,,,0.161153392711861,0.079836833269017,0.122814794468155,0.051851851851852,,,0.166666666666667,,,0.836363636363636,0.016949152542373,,,0.851851851851852,0.821428571428571,0.024305555555556,,
heart,fairsmote,de,0.796610169491525,0.04375,,,0.225849668952099,0.097889489358214,0.16731342926016,0.002849002849003,,,0.208333333333333,,,0.769230769230769,0.050847457627119,,,0.833333333333333,0.714285714285714,0.001157407407407,,
heart,none,default,0.830508474576271,0.313095238095238,,,0.207089478025913,0.501679597498802,0.398602600812302,0.843478260869565,,,0.476190476190476,,,0.782608695652174,0.050847457627119,,,0.818181818181818,0.75,0.468599033816425,,
heart,none,random,0.796610169491525,0.26547619047619,,,0.258291840538292,0.46230442328237,0.385210706913453,0.826086956521739,,,0.380952380952381,,,0.727272727272727,0.0,,,0.8,0.666666666666667,0.41304347826087,,
heart,none,de,0.76271186440678,0.141666666666667,,,0.289147252683442,0.385940332191282,0.3462777040657,0.752860411899314,,,0.0,,,0.695652173913043,0.0,,,0.727272727272727,0.666666666666667,0.397342995169082,,
heart,fairsmote,default,0.796610169491525,0.322619047619048,,,0.248063847737535,0.493778173697363,0.403488553371567,0.843478260869565,,,0.428571428571429,,,0.739130434782609,0.016949152542373,,,0.772727272727273,0.708333333333333,0.468599033816425,,
heart,fairsmote,random,0.796610169491525,0.379761904761905,,,0.239200451062632,0.525619002698647,0.422984646837719,0.857707509881423,,,0.476190476190476,,,0.75,0.0,,,0.75,0.75,0.524154589371981,,
heart,fairsmote,de,0.779661016949153,0.164285714285714,,,0.254870852619908,0.373174820208546,0.325940321437529,0.701863354037267,,,0.095238095238095,,,0.73469387755102,0.0,,,0.72,0.75,0.409420289855072,,
heart,none,default,0.830508474576271,0.060144927536232,,,0.186865006590716,0.203140298474531,0.196073689966639,0.264705882352941,,,0.333333333333333,,,0.807692307692308,0.050847457627119,,,0.807692307692308,0.807692307692308,0.137647058823529,,
heart,none,random,0.796610169491525,0.030764163372859,,,0.231762490511642,0.202753682736081,0.216127711048571,0.377828054298643,,,0.151515151515152,,,0.76,0.016949152542373,,,0.791666666666667,0.730769230769231,0.196470588235294,,
heart,none,de,0.779661016949153,0.080764163372859,,,0.246784057509881,0.229780910604297,0.237488202877734,0.422268907563025,,,0.151515151515152,,,0.745098039215686,0.016949152542373,,,0.76,0.730769230769231,0.236470588235294,,
heart,fairsmote,default,0.76271186440678,0.008168642951252,,,0.254169290894874,0.175193955697204,0.213924369891215,0.264705882352941,,,0.242424242424242,,,0.740740740740741,0.050847457627119,,,0.714285714285714,0.769230769230769,0.148235294117647,,
heart,fairsmote,random,0.779661016949153,0.058168642951252,,,0.239365216864484,0.153844944394166,0.196503933451314,0.208144796380091,,,0.242424242424242,,,0.754716981132075,0.033898305084746,,,0.740740740740741,0.769230769230769,0.108235294117647,,
