DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Models built,Best params,accuracy,precision,recall,f1,aod-age,eod-age,spd-age,di-age,fr-age,d2h1 (accuracy+precision+recall+f1),d2h2 (aod+eod+spd+di+fr),d2h3 (accuracy+precision+recall+f1+aod+eod+spd+di+fr),aod-sex,eod-sex,spd-sex,di-sex,fr-sex,aod-race,eod-race,spd-race,di-race,fr-race
fairness/heart_processed.csv,4,fairsmote,minmax,none,rf,random search,d2h3,5.55251502990723,320,"{'la__n_estimators': 60, 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.00031622776601683794, 'la__max_depth': 15, 'la__criterion': 'gini'}",0.779661016949153,0.740740740740741,0.769230769230769,0.754716981132075,0.058168642951252,0.242424242424242,0.108235294117647,0.208144796380091,0.033898305084746,0.239365216864484,0.153844944394166,0.196503933451314,,,,,,,,,,
fairness/heart_processed.csv,4,fairsmote,minmax,none,rf,de,d2h3,14.4246287345886,550,"{'la__n_estimators': 200, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.08565590969225086, 'la__max_depth': 1}",0.830508474576271,0.833333333333333,0.769230769230769,0.8,0.007048748353096,0.242424242424242,0.196470588235294,0.377828054298643,0,0.193493922926576,0.21916839590823,0.208148857434875,,,,,,,,,,
fairness/heart_processed.csv,5,none,minmax,none,rf,default,None,1.59650683403015,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.866666666666667,0.821428571428571,0.884615384615385,0.851851851851852,0.054312865497076,0.013888888888889,0.242424242424242,0.421052631578947,0.05,0.145711200793727,0.219862511796621,0.190503612276803,,,,,,,,,,
fairness/heart_processed.csv,5,none,minmax,none,rf,random search,d2h3,5.90063142776489,320,"{'la__n_estimators': 100, 'la__min_samples_leaf': 7, 'la__min_impurity_decrease': 0.03162277660168379, 'la__max_depth': 6, 'la__criterion': 'entropy'}",0.85,0.84,0.807692307692308,0.823529411764706,0.115350877192982,0.083333333333333,0.286195286195286,0.524691358024691,0.016666666666667,0.170458291843504,0.274858803794825,0.234274513042198,,,,,,,,,,
fairness/heart_processed.csv,5,none,minmax,none,rf,de,d2h3,13.3592596054077,550,"{'la__n_estimators': 173, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 0.12489571158266757, 'la__max_depth': 5}",0.833333333333333,0.833333333333333,0.769230769230769,0.8,0.002704678362573,0.152777777777778,0.188552188552189,0.388888888888889,0,0.192879491798233,0.205004809883483,0.199706688755227,,,,,,,,,,
fairness/heart_processed.csv,5,fairsmote,minmax,none,rf,default,None,1.62858200073242,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.866666666666667,0.8,0.923076923076923,0.857142857142857,0.025146198830409,0.111111111111111,0.235690235690236,0.388888888888889,0.016666666666667,0.145002673084324,0.209780953952782,0.18383064187002,,,,,,,,,,
fairness/heart_processed.csv,5,fairsmote,minmax,none,rf,random search,d2h3,6.21438050270081,320,"{'la__n_estimators': 120, 'la__min_samples_leaf': 5, 'la__min_impurity_decrease': 0.0001, 'la__max_depth': 5, 'la__criterion': 'gini'}",0.85,0.793103448275862,0.884615384615385,0.836363636363636,0.002631578947368,0.166666666666667,0.205387205387205,0.35672514619883,0.016666666666667,0.162324252721926,0.198745674081553,0.183453253784651,,,,,,,,,,
fairness/heart_processed.csv,5,fairsmote,minmax,none,rf,de,d2h3,13.7912273406982,550,"{'la__n_estimators': 70, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 1e-05, 'la__max_depth': 7}",0.833333333333333,0.766666666666667,0.884615384615385,0.821428571428572,0.028947368421053,0.166666666666667,0.168350168350168,0.292397660818714,0.016666666666667,0.178482202748424,0.168956607997347,0.17325487446135,,,,,,,,,,
fairness/heart_processed.csv,6,none,minmax,none,rf,default,None,1.58896780014038,5,"{'la__n_estimators': 100, 'la__criterion': 'gini', 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",0.866666666666667,0.821428571428571,0.884615384615385,0.851851851851852,0.114589169000934,0.006535947712418,0.302558398220245,0.493647912885662,0.066666666666667,0.145711200793727,0.26564927515024,0.220548483731466,,,,,,,,,,
fairness/heart_processed.csv,6,none,minmax,none,rf,random search,d2h3,6.09690952301025,320,"{'la__n_estimators': 140, 'la__min_samples_leaf': 4, 'la__min_impurity_decrease': 0.1, 'la__max_depth': 5, 'la__criterion': 'gini'}",0.9,0.884615384615385,0.884615384615385,0.884615384615385,0.103874883286648,0.006535947712418,0.304783092324805,0.524904214559387,0,0.111737223433338,0.275408742715111,0.2183754936958,,,,,,,,,,
fairness/heart_processed.csv,6,none,minmax,none,rf,de,d2h3,13.3689501285553,550,"{'la__n_estimators': 10, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.03141552996789486, 'la__max_depth': 7}",0.816666666666667,0.777777777777778,0.807692307692308,0.792452830188679,0.055018674136321,0.045751633986928,0.203559510567297,0.371196754563894,0,0.201898429524534,0.192012380568211,0.196467604011804,,,,,,,,,,
