ds,pp,pt,m,val,rank
adult,fairsmote,de,aod-sex,0.0189704207184,1.0
adult,fairsmote,de,aod-sex,0.00343672239112,1.0
adult,fairsmote,de,aod-sex,0.088603473040288,1.0
adult,fairsmote,de,aod-sex,0.099899578768731,1.0
adult,fairsmote,de,aod-sex,0.053965883000596,1.0
adult,fairsmote,de,aod-sex,0.004133503823324,1.0
adult,fairsmote,de,aod-sex,0.056587319635844,1.0
adult,fairsmote,de,d2h1,0.341289129596952,2.0
adult,fairsmote,de,d2h1,0.34012818243565,2.0
adult,fairsmote,de,d2h1,0.3508147774803,2.0
adult,fairsmote,de,d2h1,0.345448662458957,2.0
adult,fairsmote,de,d2h1,0.354838088731985,2.0
adult,fairsmote,de,d2h1,0.347896895737696,2.0
adult,fairsmote,de,d2h1,0.339619689076389,2.0
adult,fairsmote,de,d2h1,0.350826510510941,2.0
adult,fairsmote,de,d2h1,0.352117614247822,2.0
adult,fairsmote,de,d2h1,0.337055984604223,2.0
adult,fairsmote,de,d2h1,0.349201232777405,2.0
adult,fairsmote,de,d2h1,0.360161220272929,2.0
adult,fairsmote,de,d2h1,0.347720606563598,2.0
adult,fairsmote,de,d2h1,0.345303250226741,2.0
adult,fairsmote,de,d2h1,0.340415514539221,2.0
adult,fairsmote,de,d2h1,0.346924232809312,2.0
adult,fairsmote,de,d2h1,0.349883296420862,2.0
adult,fairsmote,de,d2h1,0.346834365423493,2.0
adult,fairsmote,de,d2h1,0.341928971587856,2.0
adult,fairsmote,de,d2h1,0.343584015316803,2.0
adult,fairsmote,de,d2h1,0.361666698317571,2.0
adult,fairsmote,de,d2h1,0.349660728151221,2.0
adult,fairsmote,de,d2h1,0.874115823890818,2.0
adult,fairsmote,de,d2h1,0.350384673327002,2.0
adult,fairsmote,de,d2h1,0.332705160958614,2.0
adult,fairsmote,de,d2h1,0.338886554091489,2.0
adult,fairsmote,de,d2h1,0.348252294936529,2.0
adult,fairsmote,de,d2h1,0.342097520258888,2.0
adult,fairsmote,de,d2h1,0.348324257617592,2.0
adult,fairsmote,de,d2h1,0.359377917561397,2.0
adult,fairsmote,de,d2h1,0.344788804479425,2.0
adult,fairsmote,de,d2h1,0.613906119922057,2.0
adult,fairsmote,de,d2h1,0.348552974952886,2.0
adult,fairsmote,de,d2h1,0.356319529819096,2.0
adult,fairsmote,de,d2h1,0.336727611603951,2.0
adult,fairsmote,de,d2h1,0.348452238157519,2.0
adult,fairsmote,de,d2h1,0.356686422653411,2.0
adult,fairsmote,de,d2h1,0.338011867015806,2.0
adult,fairsmote,de,d2h1,0.620682974785314,2.0
adult,fairsmote,de,d2h1,0.333737120867835,2.0
adult,fairsmote,de,d2h1,0.345664265953479,2.0
adult,fairsmote,de,d2h1,0.345233988014392,2.0
adult,fairsmote,de,d2h1,0.341775276314021,2.0
adult,fairsmote,de,d2h1,0.356775158452991,2.0
adult,fairsmote,de,d2h1,0.354668686276182,2.0
adult,fairsmote,de,d2h1,0.342017633068559,2.0
adult,fairsmote,de,d2h1,0.339763027612336,2.0
adult,fairsmote,de,d2h1,0.343099050055682,2.0
adult,fairsmote,de,d2h1,0.35525299229181,2.0
