DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.7260048389434814,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4361504962790142,0.38886213157722127
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.1269998550415039,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.45189977075456766,0.3753838462155029
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",1.5519979000091553,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.440761516104466,0.38457272827551064
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.1810016632080078,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4234822288515563,0.3965375410973605
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.23799824714660645,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4512747154135191,0.38216090746652964
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.12500619888305664,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4589551962880895,0.367455944671228
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.13199734687805176,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.4370726362566562,0.3872866783667058
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.2109982967376709,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.45705996139253946,0.36764944693418844
effort/china.csv,1,none,log,none,rf,tpe,"['sa', 'sd']",0.29400014877319336,"{'la__max_depth': 8, 'la__min_impurity_decrease': 0.01, 'la__min_samples_leaf': 15, 'la__n_estimators': 10}",0.42569102001499814,0.4117401370388508
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.595999002456665,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4531787486738662,0.3737877430516102
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.14200162887573242,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4597943664325486,0.3684866456727399
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.6489982604980469,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4452124593760999,0.39257535017104483
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.15000605583190918,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.45247112968091996,0.3784432148944938
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.13500142097473145,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4519673226139888,0.3796868255531754
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.1391727924346924,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.44664621319278375,0.3834452072919154
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.6709966659545898,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4547346944949219,0.37036385878274
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.7779977321624756,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4190764167262032,0.39260004486405
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.6229991912841797,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.45423332722541393,0.37530610431131206
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.388000011444092,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4122978668891356,0.4117904775362719
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.9999959468841553,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.42616115009659056,0.40548096374480247
effort/china.csv,1,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.19800305366516113,"{'la__n_estimators': 10, 'la__min_samples_leaf': 11, 'la__min_impurity_decrease': 0.09630067008117679, 'la__max_depth': 6}",0.4531076334701602,0.3766675757457344
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.5615746974945068,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.4569375964528003,0.3618115418810984
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.18600201606750488,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.45321162111067126,0.37878494601240736
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.8379981517791748,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.44543645381569535,0.3832430747133902
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.5899980068206787,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.4398330589434267,0.40296948244247544
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.2030012607574463,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.45424099220233344,0.38129126119936635
effort/china.csv,1,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.6059954166412354,"{'la__n_estimators': 56, 'la__min_samples_leaf': 15, 'la__min_impurity_decrease': 0.14497843207484423, 'la__max_depth': 9}",0.44028494617439007,0.3941787375873654
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",0.7729978561401367,"{'la__n_estimators': 73, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.007357132402004038, 'la__max_depth': 9}",0.44974865197756203,0.3788729353905406
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",0.7940843105316162,"{'la__n_estimators': 73, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.007357132402004038, 'la__max_depth': 9}",0.45556536127820274,0.3745919137270476
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",0.773003101348877,"{'la__n_estimators': 73, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.007357132402004038, 'la__max_depth': 9}",0.45275381354485233,0.3788169777594301
