ds,pt,m,rank,q0,q1,q2,q3,q4
flight,nsga-ii,GD-,2,0.0,0.0382403239694656,0.0519136298368139,0.0818008547468756,0.2254246593038158
flight,random,GD-,3,0.0466807770724477,0.0929072369657631,0.134719453073192,0.2068449218405467,0.2791893824597219
flight,sway,GD-,4,0.128862715566698,0.2064283183393029,0.2603555523556391,0.2929013816635477,0.4042863661986312
flight,sway,HV+,1,38046421.01565602,1719982756.8353407,8518070270.008947,16031905949.449156,28971130641.033543
flight,random,HV+,2,58891418.91040248,3882747645.06844,9668087680.850033,20235729210.159138,44175219562.30235
flight,nsga-iii,HV+,3,165575250.2165638,5403114301.40935,11259524606.512682,31618386975.01868,49814670058.65802
flight,tpe,HV+,4,160921845.4311362,4532321076.60062,11720351191.888817,32092064436.399597,52331051287.12514
flight,nsga-ii,HV+,4,168298433.26601017,5116692542.218251,12434022718.462185,32249460760.666573,54556035163.14104
flight,moead,HV+,4,155730261.81863078,5035204764.885408,13240186551.796469,35186228179.050026,57602368115.823975
flight,random,UNFR+,1,0.0,0.0,0.0,0.0,0.0263157894736842
flight,sway,UNFR+,1,0.0,0.0,0.0,0.0,0.0
flight,nsga-ii,UNFR+,2,0.0,0.0,0.0232558139534883,0.0491803278688524,0.0714285714285714
flight,tpe,UNFR+,2,0.0,0.0,0.0263157894736842,0.0512820512820512,0.0909090909090909
flight,nsga-iii,UNFR+,3,0.0,0.0,0.0377358490566037,0.0606060606060606,0.0909090909090909
flight,moead,UNFR+,4,0.0,0.0377358490566037,0.0638297872340425,0.0930232558139534,0.12
ground,sway,DCI+,1,0.0,0.0,0.1111111111111111,0.3,0.5333333333333333
ground,random,DCI+,2,0.0,0.1555555555555555,0.3142857142857142,0.4666666666666665,0.7999999999999999
ground,nsga-iii,DCI+,3,0.3599999999999999,0.6461538461538462,0.7142857142857142,0.8222222222222221,0.95
ground,tpe,DCI+,3,0.4,0.6333333333333333,0.7428571428571427,0.7999999999999999,0.8888888888888887
ground,nsga-ii,DCI+,3,0.1999999999999999,0.62,0.7555555555555555,0.8666666666666665,0.907692307692308
ground,moead,DCI+,4,0.3999999999999999,0.7,0.8307692307692307,0.8666666666666666,0.9555555555555556
ground,moead,GD-,1,0.0,0.0108390494380564,0.0233994632541322,0.0410040862100273,0.2500311812077342
ground,nsga-iii,GD-,2,0.0071040576683607,0.0262107277021456,0.0334864610274935,0.0572046721848308,0.1889400031045345
ground,nsga-ii,GD-,2,0.0101593927015867,0.02280943506158,0.0380853846335099,0.0661300387598793,0.2220332488454436
ground,tpe,GD-,2,0.0,0.0220467406565396,0.0421235941578977,0.0657583783961199,0.1260216752241509
ground,random,GD-,3,0.0447917535538427,0.1107431174387181,0.1541507510129636,0.2214790432924783,0.2924418007786999
ground,sway,GD-,4,0.0819838129249523,0.160508885025145,0.2533671875108835,0.2857619825211382,0.3888202265649569
ground,sway,HV+,1,486536351.9933755,2306580069.851173,6096047312.343948,11810190262.145922,103615966786.86368
ground,random,HV+,2,485576850.20614815,5042918247.94285,7887076985.164366,22067916909.40064,110815598478.58952
ground,nsga-iii,HV+,3,1116699919.0010004,4557408259.371918,9120237143.3091,25620121251.27576,124369915950.77774
ground,moead,HV+,3,1527620500.838411,4096176835.451696,9697720712.908484,26671747985.55233,124379920970.28702
ground,tpe,HV+,3,1343237618.189263,5065676278.433851,10270389530.48686,30671094701.11085,130652939272.66814
ground,nsga-ii,HV+,3,1300890802.5007162,4177993690.862613,10327745073.18881,29305783172.98815,115083294013.73325
ground,random,UNFR+,1,0.0,0.0,0.0,0.0166666666666666,0.0408163265306122
ground,sway,UNFR+,1,0.0,0.0,0.0,0.0,0.0384615384615384
ground,nsga-ii,UNFR+,2,0.0,0.0149253731343283,0.0222222222222222,0.074074074074074,0.0909090909090909
ground,nsga-iii,UNFR+,3,0.0,0.0196078431372549,0.0227272727272727,0.0384615384615384,0.0612244897959183
ground,tpe,UNFR+,4,0.0,0.0222222222222222,0.0416666666666666,0.0666666666666666,0.0943396226415094
ground,moead,UNFR+,5,0.0,0.0416666666666666,0.0895522388059701,0.1132075471698113,0.1774193548387097
isbsg10,random,DCI+,1,0.0,0.0,0.0,0.0833333333333333,0.36
isbsg10,tpe,DCI+,1,0.0,0.0,0.0,0.0,0.2777777777777778
isbsg10,moead,DCI+,1,0.0,0.0,0.0,0.0681818181818181,0.4444444444444444
isbsg10,nsga-iii,DCI+,2,0.0,0.0113636363636363,0.1442307692307692,0.3203125,0.6911764705882353
isbsg10,sway,DCI+,3,0.0,0.0689655172413793,0.2638888888888889,0.4305555555555555,1.0
isbsg10,nsga-ii,DCI+,4,0.0,0.7000000000000001,0.8513513513513514,0.9166666666666666,1.0
isbsg10,nsga-ii,GD-,1,0.0,0.0006154543448091,0.0030673807246024,0.0134629377895835,1.0
isbsg10,sway,GD-,2,0.0,0.0197411246299908,0.0409885708948647,0.0877149787392201,1.0
isbsg10,nsga-iii,GD-,2,1.303305145927692e-05,0.0195816124796805,0.0493545709641935,0.1508835339251929,1.0
isbsg10,moead,GD-,3,0.0,0.0321297358213761,0.1057651744582059,0.5932034973039015,1.0152166088005286
isbsg10,random,GD-,4,0.0,0.0661395174956278,0.1753179409016577,0.2957533568037541,1.0
isbsg10,tpe,GD-,5,0.0,0.0989635546290407,0.2217880771589376,0.5894500728424691,1.3392787779818738
isbsg10,tpe,HV+,1,0.0,0.0,0.0003766287350168,0.0015690260615334,0.0085139317080427
isbsg10,moead,HV+,2,0.0,2.0151319163566335e-05,0.001158868817083,0.0026431945253327,0.0187299199577439
isbsg10,random,HV+,2,0.0,0.0005246158507149,0.0014859581651025,0.0035120677473929,0.0113751128300504
isbsg10,sway,HV+,3,0.0,0.0016577790704855,0.0034069842665953,0.0078653715493307,0.0302021831234042
isbsg10,nsga-iii,HV+,3,0.0,0.0012008475862542,0.0039261402831809,0.0085393712289614,0.0200507601628592
isbsg10,nsga-ii,HV+,4,0.0,0.002803392354765,0.0055389521738894,0.010320709281693,0.0365513307141825
isbsg10,random,UNFR+,1,0.0,0.0,0.0,0.0,0.0441176470588235
isbsg10,tpe,UNFR+,1,0.0,0.0,0.0,0.0,0.0238095238095238
isbsg10,moead,UNFR+,1,0.0,0.0,0.0,0.0,0.2758620689655172
isbsg10,nsga-iii,UNFR+,2,0.0,0.0,0.0201342281879194,0.0520833333333333,0.1714285714285714
isbsg10,sway,UNFR+,3,0.0,0.0093457943925233,0.0408163265306122,0.0934579439252336,0.7777777777777778
isbsg10,nsga-ii,UNFR+,4,0.0,0.2424242424242424,0.351063829787234,0.4875,1.0
osp2,sway,DCI+,1,0.0,0.0,0.0571428571428571,0.311111111111111,0.36
osp2,random,DCI+,2,0.0,0.1499999999999999,0.2799999999999999,0.4666666666666665,0.65
osp2,tpe,DCI+,3,0.3666666666666667,0.6833333333333332,0.7499999999999998,0.7999999999999999,0.8999999999999999
osp2,nsga-ii,DCI+,3,0.2799999999999999,0.6999999999999998,0.75,0.8,0.9714285714285712
osp2,nsga-iii,DCI+,3,0.4571428571428571,0.7333333333333332,0.76,0.8571428571428571,0.92
osp2,moead,DCI+,4,0.5750000000000001,0.775,0.8333333333333333,0.92,1.0
