DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,13,none,log,none,rf,default,None,3.140486478805542,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3047.809397590361,0.26569720466798197,0.13519679405873586,3047.809397590361,,
effort/china.csv,13,none,log,none,rf,random search,"['sa', 'sd']",140.25566983222961,,2712.056751685429,0.34658943717538027,0.23040836390961542,2712.056751685429,320.0,pareto front
effort/china.csv,13,none,log,none,rf,tpe,"['sa', 'sd']",1108.3968176841736,,2615.646781752862,0.36981730387706124,0.2498118969297434,2615.646781752862,1280.0,pareto front
effort/china.csv,13,none,log,none,rf,nsga-ii,"['sa', 'sd']",506.33782482147217,,2820.3400801347802,0.3205009452798314,0.1479856261261456,2820.3400801347802,1000.0,pareto front
effort/china.csv,13,none,log,none,rf,nsga-iii,"['sa', 'sd']",1090.015879869461,,2825.814274280056,0.3191820583224501,0.18761784337815507,2825.814274280056,1000.0,pareto front
effort/china.csv,13,none,log,none,rf,moead,"['sa', 'sd']",191.5553798675537,,2478.9971094053635,0.4027400438834752,0.2933559261697403,2478.9971094053635,500.0,pareto front
effort/china.csv,14,none,log,none,rf,default,None,2.878885269165039,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2620.4485542168677,0.3955561117823425,0.41444748919795027,2620.4485542168677,,
effort/china.csv,14,none,log,none,rf,random search,"['sa', 'sd']",107.99807214736938,,2463.428068896738,0.4317751295241685,0.40069092292888053,2463.428068896738,320.0,pareto front
effort/china.csv,14,none,log,none,rf,tpe,"['sa', 'sd']",872.8891997337341,,2443.686985162874,0.4363286924592337,0.39506869870706024,2443.686985162874,1280.0,pareto front
effort/china.csv,14,none,log,none,rf,nsga-ii,"['sa', 'sd']",483.50192308425903,,2437.08532953504,0.43785145862456853,0.4014174989699478,2437.08532953504,1000.0,pareto front
effort/china.csv,14,none,log,none,rf,nsga-iii,"['sa', 'sd']",483.6003806591034,,2449.7109884390898,0.43493917005969934,0.40017026640486236,2449.7109884390898,1000.0,pareto front
effort/china.csv,14,none,log,none,rf,moead,"['sa', 'sd']",269.36523604393005,,2438.167795226708,0.4376017724513821,0.3977340131980375,2438.167795226708,500.0,pareto front
