DS,PT,mar,sa,sd,sdar
effort/china.csv,tpe,2473.7456238264745,0.4217891673002908,0.4003177121679422,2473.7456238264745
effort/china.csv,nsga-ii,2463.800477407465,0.42411373589654,0.4054684338147001,2463.800477407465
effort/china.csv,nsga-iii,2482.4124769084688,0.4197633857125808,0.4076819801755691,2482.4124769084688
effort/china.csv,moead,2502.7743221002006,0.415004028343652,0.4071820425287187,2502.7743221002006
effort/china.csv,default,3539.8106927710846,0.4399743932008636,0.4480251281325451,3539.8106927710846
effort/china.csv,random,3397.3538642030508,0.4625121724172542,0.3719963600739523,3397.3538642030508
effort/china.csv,tpe,3405.4202434738954,0.4612360084249108,0.3713907220900678,3405.4202434738954
effort/china.csv,nsga-ii,3431.674187562133,0.4570824300996881,0.3654138890343801,3431.674187562133
effort/china.csv,nsga-iii,3403.9038020850285,0.4614759212571733,0.3649898463192039,3403.9038020850285
effort/china.csv,moead,3391.7147784377307,0.4634043196820685,0.3737403690006192,3391.7147784377307
effort/china.csv,default,2684.539041916168,0.4913110564106399,0.4227095568422558,2684.539041916168
effort/china.csv,random,2504.9178595004123,0.5253471825770611,0.4136273346714937,2504.9178595004123
effort/china.csv,tpe,2506.405040730228,0.5250653790208795,0.4093042826216811,2506.405040730228
effort/china.csv,nsga-ii,2505.0802859130417,0.5253164046598988,0.4134091901886195,2505.0802859130417
effort/china.csv,nsga-iii,2484.352378410013,0.5292441021922868,0.4152313794730268,2484.352378410013
effort/china.csv,moead,2517.003808895969,0.5230570356526522,0.4287601588923326,2517.003808895969
effort/china.csv,default,2570.810692771084,0.4187842612956417,0.4466668481313329,2570.810692771084
effort/china.csv,random,2544.497813101144,0.4247331473173962,0.372234041627404,2544.497813101144
effort/china.csv,tpe,2558.2325478252296,0.4216279618554659,0.3675414261342349,2558.2325478252296
effort/china.csv,nsga-ii,2559.2230795556197,0.4214040197997528,0.3746255597049639,2559.2230795556197
effort/china.csv,nsga-iii,2556.2451889549566,0.4220772692498628,0.3681648201038819,2556.2451889549566
effort/china.csv,moead,2549.4273200468187,0.4236186712383387,0.3900465241518103,2549.4273200468187
effort/china.csv,default,2938.14186746988,0.4125226616510304,0.4691325998239848,2938.14186746988
effort/china.csv,random,2838.237073781563,0.4324984847840558,0.4322328605746026,2838.237073781563
effort/china.csv,tpe,2764.165982860012,0.4473088953448875,0.4314329615188584,2764.165982860012
effort/china.csv,nsga-ii,2775.2020020857635,0.4451022588061639,0.4358681253001529,2775.2020020857635
effort/china.csv,nsga-iii,2846.0901024949303,0.4309282827262225,0.4524956856748147,2846.0901024949303
effort/china.csv,moead,2865.6208189144345,0.4270231434185488,0.4458784156816544,2865.6208189144345
effort/china.csv,default,3478.0055988023955,0.3465480207359872,0.4285717251037462,3478.0055988023955
effort/china.csv,random,3135.5723723559227,0.4108847974405041,0.4013470786570032,3135.5723723559227
effort/china.csv,tpe,3157.6422230538924,0.4067382866857155,0.4041945547693398,3157.6422230538924
effort/china.csv,nsga-ii,3149.163363950067,0.4083313051860892,0.3989137100325067,3149.163363950067
effort/china.csv,nsga-iii,3157.08120487996,0.4068436914718048,0.4083243095914902,3157.08120487996
effort/china.csv,moead,3190.547679640719,0.4005559689394037,0.4110023987190551,3190.547679640719
effort/china.csv,default,2689.3958433734942,0.4912561674616088,0.502463091029183,2689.3958433734942
effort/china.csv,random,2641.53669222344,0.5003095197370298,0.4003679682717111,2641.53669222344
effort/china.csv,tpe,2585.165631095812,0.5109730409709854,0.456943210497638,2585.165631095812
effort/china.csv,nsga-ii,2610.587655681936,0.5061640433477099,0.4520432701803719,2610.587655681936
effort/china.csv,nsga-iii,2626.628007438648,0.5031297447530718,0.4492795657653741,2626.628007438648
effort/china.csv,moead,2588.762374497992,0.5102926572976072,0.4057024562661897,2588.762374497992
effort/china.csv,default,2272.7738253012044,0.4426489094826892,0.4415399087640401,2272.7738253012044
effort/china.csv,random,2142.477320600204,0.4746014505482624,0.4457255048937706,2142.477320600204
effort/china.csv,tpe,2146.3776576830737,0.4736449730042487,0.4379799549062719,2146.3776576830737
effort/china.csv,nsga-ii,2162.15945126632,0.4697748123371284,0.4299346473647644,2162.15945126632
effort/china.csv,nsga-iii,2167.675999734018,0.4684219921532036,0.4309426262635136,2167.675999734018
effort/china.csv,moead,2111.008862372567,0.4823184434645053,0.4478396465144083,2111.008862372567
effort/china.csv,default,3211.109700598802,0.4810993164679201,0.4246238927809296,3211.109700598802
effort/china.csv,random,3114.889329192502,0.4966480896796011,0.4086752834927917,3114.889329192502
effort/china.csv,tpe,3133.5090296977005,0.4936392309920552,0.406699514658678,3133.5090296977005
effort/china.csv,nsga-ii,3119.327445871131,0.4959309102641155,0.4076332994122098,3119.327445871131
