ds,pt,m,val,rank
effort/china.csv,moead,sd,0.4057024562661897,
effort/china.csv,moead,sd,0.4478396465144083,
effort/china.csv,moead,sd,0.4090301885294041,
effort/china.csv,moead,sd,0.2933559261697403,
effort/china.csv,moead,sd,0.3977340131980375,
effort/china.csv,moead,sd,0.3865952228983998,
effort/china.csv,moead,sd,0.4709169007786736,
effort/china.csv,moead,sd,0.4146095155570963,
effort/china.csv,moead,sd,0.4670537029419646,
effort/china.csv,moead,sd,0.3852338038255396,
effort/china.csv,moead,sd,0.4615502884086753,
effort/china.csv,moead,sd,0.4278001816040262,
effort/china.csv,moead,sd,0.3914429333087711,
effort/china.csv,moead,sd,0.4137161361314439,
effort/china.csv,moead,sd,0.3971189008818674,
effort/china.csv,moead,sd,0.5271105827577147,
effort/china.csv,moead,sd,0.4066594636229547,
effort/china.csv,moead,sd,0.344139398000168,
effort/china.csv,moead,sd,0.4311618038357169,
effort/china.csv,moead,sd,0.3843563039868615,
effort/china.csv,moead,sdar,3103.302411842981,
effort/china.csv,moead,sdar,2813.3548770424163,
effort/china.csv,moead,sdar,2186.1863983862413,
effort/china.csv,moead,sdar,2038.9211246562843,
effort/china.csv,moead,sdar,2502.7743221002006,
effort/china.csv,moead,sdar,3391.7147784377307,
effort/china.csv,moead,sdar,2517.003808895969,
effort/china.csv,moead,sdar,2549.4273200468187,
effort/china.csv,moead,sdar,2865.6208189144345,
effort/china.csv,moead,sdar,3190.547679640719,
effort/china.csv,moead,sdar,2588.762374497992,
effort/china.csv,moead,sdar,2111.008862372567,
effort/china.csv,moead,sdar,3115.434144097951,
effort/china.csv,moead,sdar,2478.9971094053635,
effort/china.csv,moead,sdar,2438.167795226708,
effort/china.csv,moead,sdar,2093.16696987731,
effort/china.csv,moead,sdar,2669.4371857508777,
effort/china.csv,moead,sdar,2888.597330498464,
effort/china.csv,moead,sdar,2650.320540736708,
effort/china.csv,moead,sdar,2827.8058188959453,
effort/china.csv,moead,sdar,2327.531468496939,
effort/china.csv,moead,sdar,2509.7236723796163,
effort/china.csv,moead,sdar,2654.030007786248,
effort/china.csv,moead,sdar,2636.612528615168,
effort/china.csv,moead,sdar,3602.0878953909623,
effort/china.csv,moead,sdar,2145.45699374588,
effort/china.csv,moead,sdar,2017.7300209240325,
effort/china.csv,moead,sdar,2683.139097837384,
effort/china.csv,moead,sdar,2639.918767941649,
effort/china.csv,moead,sdar,2553.3161432351453,
effort/china.csv,nsga-ii,mar,3152.7517401179566,
effort/china.csv,nsga-ii,mar,2786.807299076061,
effort/china.csv,nsga-ii,mar,2053.7742462717542,
effort/china.csv,nsga-ii,mar,2069.350826290966,
effort/china.csv,nsga-ii,mar,2463.800477407465,
effort/china.csv,nsga-ii,mar,3431.674187562133,
effort/china.csv,nsga-ii,mar,2505.0802859130417,
effort/china.csv,nsga-ii,mar,2559.22307955562,
effort/china.csv,nsga-ii,mar,2775.2020020857635,
effort/china.csv,nsga-ii,mar,3149.163363950067,
effort/china.csv,nsga-ii,mar,2610.587655681936,
effort/china.csv,nsga-ii,mar,2162.15945126632,
effort/china.csv,nsga-ii,mar,3119.327445871131,
effort/china.csv,nsga-ii,mar,2820.34008013478,
effort/china.csv,nsga-ii,mar,2437.08532953504,
effort/china.csv,nsga-ii,mar,2108.9362654370407,
effort/china.csv,nsga-ii,mar,2701.5133700882434,
effort/china.csv,nsga-ii,mar,2866.7149167157795,
effort/china.csv,nsga-ii,mar,2661.539273106808,
effort/china.csv,nsga-ii,mar,2830.908831044452,
effort/china.csv,nsga-ii,mar,2326.333859793844,
effort/china.csv,nsga-ii,mar,2605.246043030856,
effort/china.csv,nsga-ii,mar,2689.312702237455,
effort/china.csv,nsga-ii,mar,2637.915493708148,
effort/china.csv,nsga-ii,mar,3632.793409515615,
effort/china.csv,nsga-ii,mar,2181.58208992435,
effort/china.csv,nsga-ii,mar,2033.7438176180983,
effort/china.csv,nsga-ii,mar,2844.0138770070607,
effort/china.csv,nsga-ii,mar,2679.86195289086,
effort/china.csv,nsga-ii,mar,2566.671854826726,
effort/china.csv,nsga-ii,sa,0.4753485674272014,
effort/china.csv,nsga-ii,sa,0.4926772908658074,
effort/china.csv,nsga-ii,sa,0.339458455706243,
effort/china.csv,nsga-ii,sa,0.4928169388578161,
effort/china.csv,nsga-ii,sa,0.42411373589654,
effort/china.csv,nsga-ii,sa,0.4570824300996881,
effort/china.csv,nsga-ii,sa,0.5253164046598988,
effort/china.csv,nsga-ii,sa,0.4214040197997528,
effort/china.csv,nsga-ii,sa,0.4451022588061639,
effort/china.csv,nsga-ii,sa,0.4083313051860892,
effort/china.csv,nsga-ii,sa,0.5061640433477099,
effort/china.csv,nsga-ii,sa,0.4697748123371284,
effort/china.csv,nsga-ii,sa,0.4959309102641155,
effort/china.csv,nsga-ii,sa,0.3205009452798314,
effort/china.csv,nsga-ii,sa,0.4378514586245685,
effort/china.csv,nsga-ii,sa,0.4535721280788937,
effort/china.csv,nsga-ii,sa,0.4752947216372109,
effort/china.csv,nsga-ii,sa,0.4927781584632991,
effort/china.csv,nsga-ii,sa,0.4583437042450918,
effort/china.csv,nsga-ii,sa,0.5075408422885078,
effort/china.csv,nsga-ii,sa,0.4244865561281316,
effort/china.csv,nsga-ii,sa,0.3701572755121697,
effort/china.csv,nsga-ii,sa,0.4919524954308287,
effort/china.csv,nsga-ii,sa,0.5000342088854697,
effort/china.csv,nsga-ii,sa,0.4620268700108723,
effort/china.csv,nsga-ii,sa,0.4691819403806113,
effort/china.csv,nsga-ii,sa,0.4564175838983275,
effort/china.csv,nsga-ii,sa,0.3250516110556826,
effort/china.csv,nsga-ii,sa,0.518010584839483,
effort/china.csv,nsga-ii,sa,0.4818193879228247,
effort/china.csv,nsga-ii,sd,0.3609025758917986,
effort/china.csv,nsga-ii,sd,0.443000546818638,
effort/china.csv,nsga-ii,sd,0.373201176056214,
effort/china.csv,nsga-ii,sd,0.4079209660698208,
effort/china.csv,nsga-ii,sd,0.4054684338147001,
effort/china.csv,nsga-ii,sd,0.3654138890343801,
effort/china.csv,nsga-ii,sd,0.4134091901886195,
effort/china.csv,nsga-ii,sd,0.3746255597049639,
effort/china.csv,nsga-ii,sd,0.4358681253001529,
effort/china.csv,nsga-ii,sd,0.3989137100325067,
effort/china.csv,nsga-ii,sd,0.4520432701803719,
effort/china.csv,nsga-ii,sd,0.4299346473647644,
effort/china.csv,nsga-ii,sd,0.4076332994122098,
effort/china.csv,nsga-ii,sd,0.1479856261261456,
effort/china.csv,nsga-ii,sd,0.4014174989699478,
effort/china.csv,nsga-ii,sd,0.3980928484360233,
effort/china.csv,nsga-ii,sd,0.4624415378721167,
effort/china.csv,nsga-ii,sd,0.4291207650531663,
effort/china.csv,nsga-ii,sd,0.4611211687107953,
effort/china.csv,nsga-ii,sd,0.3777047988923389,
effort/china.csv,nsga-ii,sd,0.4831121218491759,
effort/china.csv,nsga-ii,sd,0.4188592658292005,
effort/china.csv,nsga-ii,sd,0.379499278546374,
effort/china.csv,nsga-ii,sd,0.4768186215446474,
effort/china.csv,nsga-ii,sd,0.3836181638455121,
effort/china.csv,nsga-ii,sd,0.5310547638368409,
effort/china.csv,nsga-ii,sd,0.4069297034860913,
effort/china.csv,nsga-ii,sd,0.2709325632430331,
effort/china.csv,nsga-ii,sd,0.4179720173741226,
effort/china.csv,nsga-ii,sd,0.380348688770542,
effort/china.csv,nsga-ii,sdar,3152.7517401179566,
effort/china.csv,nsga-ii,sdar,2786.807299076061,
effort/china.csv,nsga-ii,sdar,2053.7742462717542,
effort/china.csv,nsga-ii,sdar,2069.350826290966,
effort/china.csv,nsga-ii,sdar,2463.800477407465,
effort/china.csv,nsga-ii,sdar,3431.674187562133,
effort/china.csv,nsga-ii,sdar,2505.0802859130417,
effort/china.csv,nsga-ii,sdar,2559.22307955562,
effort/china.csv,nsga-ii,sdar,2775.2020020857635,
effort/china.csv,nsga-ii,sdar,3149.163363950067,
effort/china.csv,nsga-ii,sdar,2610.587655681936,
effort/china.csv,nsga-ii,sdar,2162.15945126632,
effort/china.csv,nsga-ii,sdar,3119.327445871131,
effort/china.csv,nsga-ii,sdar,2820.34008013478,
effort/china.csv,nsga-ii,sdar,2437.08532953504,
effort/china.csv,nsga-ii,sdar,2108.9362654370407,
effort/china.csv,nsga-ii,sdar,2701.5133700882434,
effort/china.csv,nsga-ii,sdar,2866.7149167157795,
effort/china.csv,nsga-ii,sdar,2661.539273106808,
effort/china.csv,nsga-ii,sdar,2830.908831044452,
effort/china.csv,nsga-ii,sdar,2326.333859793844,
effort/china.csv,nsga-ii,sdar,2605.246043030856,
effort/china.csv,nsga-ii,sdar,2689.312702237455,
effort/china.csv,nsga-ii,sdar,2637.915493708148,
effort/china.csv,nsga-ii,sdar,3632.793409515615,
effort/china.csv,nsga-ii,sdar,2181.58208992435,
effort/china.csv,nsga-ii,sdar,2033.7438176180983,
effort/china.csv,nsga-ii,sdar,2844.0138770070607,
effort/china.csv,nsga-ii,sdar,2679.86195289086,
effort/china.csv,nsga-ii,sdar,2566.671854826726,
effort/china.csv,nsga-iii,mar,3167.55002910845,
effort/china.csv,nsga-iii,mar,2775.289026156484,
effort/china.csv,nsga-iii,mar,2054.127350512564,
effort/china.csv,nsga-iii,mar,2056.7703594677823,
effort/china.csv,nsga-iii,mar,2482.4124769084688,
effort/china.csv,nsga-iii,mar,3403.9038020850285,
effort/china.csv,nsga-iii,mar,2484.352378410013,
effort/china.csv,nsga-iii,mar,2556.2451889549566,
effort/china.csv,nsga-iii,mar,2846.0901024949303,
effort/china.csv,nsga-iii,mar,3157.08120487996,
effort/china.csv,nsga-iii,mar,2626.628007438648,
effort/china.csv,nsga-iii,mar,2167.675999734018,
effort/china.csv,nsga-iii,mar,3076.947783683998,
effort/china.csv,nsga-iii,mar,2825.814274280056,
effort/china.csv,nsga-iii,mar,2449.7109884390898,
effort/china.csv,nsga-iii,mar,2097.939629946363,
effort/china.csv,nsga-iii,mar,2697.080888962627,
effort/china.csv,nsga-iii,mar,2875.8964667680875,
effort/china.csv,nsga-iii,mar,2624.042546457093,
effort/china.csv,nsga-iii,mar,2908.41698499343,
effort/china.csv,nsga-iii,mar,2318.397974897182,
