pt,m,val,rank
moead,Duration?,594.066598892212,
moead,Duration?,584.087886571884,
moead,Duration?,587.140625715256,
moead,Duration?,596.417704343796,
moead,Duration?,590.814352035522,
moead,Duration?,591.852748632431,
moead,Duration?,582.940235376358,
moead,Duration?,584.61167216301,
moead,Duration?,588.970803976059,
moead,Duration?,582.650779247284,
moead,Duration?,583.74144744873,
moead,Duration?,584.550308227539,
moead,Duration?,581.70556640625,
moead,Duration?,594.947163820267,
moead,Duration?,590.740787744522,
moead,Duration?,584.847920656204,
moead,Duration?,550.863610982895,
moead,Iteration,0.0,
moead,Iteration,1.0,
moead,Iteration,2.0,
moead,Iteration,3.0,
moead,Iteration,4.0,
moead,Iteration,5.0,
moead,Iteration,6.0,
moead,Iteration,7.0,
moead,Iteration,8.0,
moead,Iteration,9.0,
moead,Iteration,10.0,
moead,Iteration,11.0,
moead,Iteration,12.0,
moead,Iteration,13.0,
moead,Iteration,14.0,
moead,Iteration,15.0,
moead,Iteration,16.0,
moead,Iteration,17.0,
moead,Iteration,18.0,
moead,Iteration,19.0,
moead,Iteration,20.0,
moead,MAR-,2982.76307935402,1.0
moead,MAR-,2982.76307935402,1.0
moead,MAR-,2133.15114275135,1.0
moead,MAR-,2133.15114275135,1.0
moead,MAR-,2466.45904452639,1.0
moead,MAR-,2466.45904452639,1.0
moead,MAR-,2072.34121636419,1.0
moead,MAR-,2072.34121636419,1.0
moead,MAR-,2767.37566864849,1.0
moead,MAR-,2767.37566864849,1.0
moead,MAR-,2425.99314114706,1.0
moead,MAR-,2425.99314114706,1.0
moead,MAR-,2419.50681821509,1.0
moead,MAR-,2419.50681821509,1.0
moead,MAR-,3199.33426202586,1.0
moead,MAR-,3199.33426202586,1.0
moead,MAR-,1947.34825867675,1.0
moead,MAR-,1947.34825867675,1.0
moead,MAR-,2211.74811273808,1.0
moead,MAR-,2211.74811273808,1.0
moead,MAR-,2168.89731078291,1.0
moead,MAR-,2168.89731078291,1.0
moead,MAR-,3067.84270771202,1.0
moead,MAR-,3067.84270771202,1.0
moead,MAR-,2225.73462498916,1.0
moead,MAR-,2225.73462498916,1.0
moead,MAR-,3011.46121157296,1.0
moead,MAR-,3011.46121157296,1.0
moead,MAR-,2166.19945803074,1.0
moead,MAR-,2166.19945803074,1.0
moead,MAR-,2459.94188078997,1.0
moead,MAR-,2459.94188078997,1.0
moead,MAR-,1924.83675199988,1.0
moead,MAR-,1924.83675199988,1.0
moead,MAR-,2948.38906332566,1.0
moead,MAR-,2948.38906332566,1.0
moead,MAR-,2136.82534925779,1.0
moead,MAR-,2136.82534925779,1.0
moead,MAR-,2772.96861682249,1.0
moead,MAR-,2772.96861682249,1.0
moead,MAR-,2925.30447823387,1.0
moead,MAR-,2925.30447823387,1.0
moead,MMRE-,1.01990757508389,1.0
moead,MMRE-,1.01990757508389,1.0
moead,MMRE-,1.16351406192162,1.0
moead,MMRE-,1.16351406192162,1.0
moead,MMRE-,1.49522220833471,1.0
moead,MMRE-,1.49522220833471,1.0
moead,MMRE-,1.5937775897962,1.0
moead,MMRE-,1.5937775897962,1.0
moead,MMRE-,1.03997935684958,1.0
moead,MMRE-,1.03997935684958,1.0
moead,MMRE-,1.08878753776888,1.0
moead,MMRE-,1.08878753776888,1.0
moead,MMRE-,1.19275448662651,1.0
